,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
16631,Facebook,China,Eastern Asia,East Asia,20-24,22.0,Male,Developer; Engineer; Programmer,Back-end web developer,Back-end web developer,2 - 5 years,3.5,"$30,000 - $40,000",35000.0,2.68,Python; Redis; SQL,Go; JavaScript,No,7.0,Employed full-time,Healthcare,100-499 employees,5-9 people,0,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Sublime; Vim; PyCharm,Multiple times a day,2-5 hours per week,Dogs,Mac OS X,Yes,1,Once a week,To keep my skills up to date,I'm self-taught; On-the-job training; B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Tech stack; Work/life balance; Quality of colleagues; Building something that's significant,Taking time off work to interview,60%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference),Star Wars,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Disagree somewhat,Disagree completely,Neutral,Neutral,Neutral,Disagree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,I don't care about this,Poor scheduling; Poor documentation; Changing requirements,To get help for my job
16754,Facebook,China,Eastern Asia,East Asia,25-29,27.0,Male,Developer; Full-stack Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"$30,000 - $40,000",35000.0,2.68,Cordova; JavaScript; MongoDB; Node.js; PHP; ReactJS; Ruby; SQL,Cassandra; Go,Yes,7.0,Employed full-time,Media / Advertising,20-99 employees,1-4 people,0,Never,I'm somewhat satisfied with my job,Contacted by company (in-house recruiter),Vim; PhpStorm,Multiple times a day,1-2 hours per week,Cats,Mac OS X,I don't know,101 - 500,Multiple times a day,To keep my skills up to date,On-the-job training; B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Health insurance; Tech stack; Opportunity for advancement; Office location; Quality of colleagues; Company culture; Building something that's innovative,Taking time off work to interview,10%,Be more flexible about interview scheduling; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree completely,Agree somewhat,Agree completely,Disagree completely,Disagree completely,Neutral,Agree somewhat,Agree somewhat,Disagree completely,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,This is somewhat important,This is very important,I don't care about this,I don't care about this,Poor team dynamics; Fragile code base; Unrealistic expectations; Corporate policies; Outdated technologies; Non-technical management; Changing requirements,To get help for my job
19745,Facebook,China,Eastern Asia,East Asia,20-24,22.0,Male,Developer; Manager,,,,,,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30951,Facebook,China,Eastern Asia,East Asia,20-24,22.0,Male,Developer; Engineer; Programmer; Sr. Developer,Mobile developer - iOS,"Mobile Dev (Android, iOS, WP & Multi-Platform)",2 - 5 years,3.5,"$50,000 - $60,000",55000.0,2.68,iOS; JavaScript; Node.js; Objective-C; Swift,iOS; Objective-C; Swift,No,7.0,Employed full-time,Consumer Products,20-99 employees,1-4 people,1,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Xcode,Multiple times a day,2-5 hours per week,Other (please specify),Mac OS X,Other (please specify),101 - 500,Once a day,I want to be a better developer,"I'm self-taught; Full-time, intensive program (e.g. ""boot-camp"")","I'm not actively looking, but I am open to new opportunities",Work/life balance; Flexible work hours; Building something that's innovative,Interesting companies rarely respond to me,30%,Show me more live code; interview_coffee; Prepare me for who I will be speaking with,Star Trek,Agree completely,Agree completely,Agree completely,Neutral,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Disagree somewhat,Disagree completely,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,I don't care about this,Unrealistic expectations; Non-technical management; Changing requirements,To get help for my job; To give help to others; Beacause I love to learn
33338,Facebook,China,Eastern Asia,East Asia,25-29,27.0,Male,Developer; Programmer; Full-stack Developer,Mobile developer - Android,"Mobile Dev (Android, iOS, WP & Multi-Platform)",2 - 5 years,3.5,"$50,000 - $60,000",55000.0,2.68,Android; C++; Java; JavaScript; Node.js,"Android; C++; Cloud (AWS, GAE, Azure, etc.); iOS; Node.js; ReactJS",Yes,4.0,Employed full-time,Internet,"10,000+ employees",10-14 people,0,Part-time remote,I'm somewhat dissatisfied with my job,I knew I wanted to work here. I sought out the opportunity directly,Emacs; Notepad++; Sublime; Vim; Android Studio; Eclipse,Multiple times a day,None,,Windows 7,Yes,I'm not sure,Multiple times a day,I'm curious,I'm self-taught,I am actively looking for a new job,Work/life balance; Opportunity for advancement; Quality of colleagues; Company culture; Building something that's innovative,Writing my CV and keeping it updated,100%,Show me more live code; Be more flexible about interview scheduling; Introduce me to the team; interview_coffee; Prepare me for who I will be speaking with,Star Wars,Disagree somewhat,Agree completely,Agree completely,Agree completely,Neutral,Neutral,Disagree completely,Agree somewhat,Disagree somewhat,Disagree completely,I don't care about this,This is somewhat important,I don't care about this,This is very important,This is very important,I don't care about this,This is somewhat important,This is very important,I don't care about this,I don't care about this,Poor team dynamics; Poor scheduling; Non-technical management; Interacting with non-technical people; Interacting with stupid people; Poor infrastructure or equipment,To get help for my job; To receive help on my personal projects; Beacause I love to learn
35300,Facebook,China,Eastern Asia,East Asia,20-24,22.0,Male,Engineer,,,,,,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35443,Facebook,China,Eastern Asia,East Asia,30-34,32.0,Male,Engineer; Expert,Database administrator,Database administrator,6 - 10 years,8.0,"$40,000 - $50,000",45000.0,2.68,Python,Python,Yes,6.0,Employed full-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35488,Facebook,China,Eastern Asia,East Asia,30-34,32.0,Male,Developer; Engineer; Programmer,other,,6 - 10 years,8.0,"$40,000 - $50,000",45000.0,2.68,C++; Java,C++; Haskell; R,Yes,7.0,Employed full-time,Internet,"10,000+ employees",1-4 people,2,I rarely work remotely,I'm somewhat dissatisfied with my job,Contacted by external recruiter,Emacs; Eclipse,A few times a month,5-10 hours per week,Dogs,Mac OS X,No,1,Multiple times a day,I'm curious,B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Ability to make or influence important decisions; Industry; Tech stack; Opportunity for advancement; Remote working option; Building something that's innovative,Searching for a job that seems interesting,50%,interview_coffee; Show me the space in which I will work; Fewer brainteasers,Star Wars,Agree somewhat,Neutral,Agree completely,Agree somewhat,Agree completely,Disagree completely,Neutral,Agree completely,Agree completely,Neutral,I don't care about this,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,Poor team dynamics; Outdated technologies; Interacting with non-technical people,To receive help on my personal projects
38821,Facebook,China,Eastern Asia,East Asia,30-34,32.0,Male,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer; Hacker,Desktop developer,Desktop developer,6 - 10 years,8.0,"$60,000 - $70,000",65000.0,2.68,Java; JavaScript; MongoDB; Python; Ruby; Scala; SQL; SQL Server,Android; Clojure; JavaScript; Node.js; Python; Ruby; Rust; Scala,Yes,7.0,Employed full-time,Software Products,"10,000+ employees",10-14 people,1,I rarely work remotely,I'm somewhat dissatisfied with my job,LinkedIn,Notepad++; Sublime; Vim; Eclipse; IntelliJ; PyCharm,A few times a month,2-5 hours per week,Other (please specify),Windows 8,Yes,101 - 500,Multiple times a day,I'm curious,I'm self-taught,I am actively looking for a new job,Salary; Remote working option; Building something that's innovative,Searching for a job that seems interesting,60%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Fewer brainteasers,Star Trek,Disagree somewhat,Agree somewhat,Agree completely,Agree completely,Neutral,Disagree somewhat,Neutral,Agree somewhat,Agree completely,Agree completely,This is very important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,Inefficient development processes; Corporate policies; Outdated technologies,To get help for my job; To give help to others; whyso_onlinepresence; To discover new job opportunities; To demonstrate that I'm good at what I do; To communicate with others like me; Beacause I love to learn
40210,Facebook,China,Eastern Asia,East Asia,30-34,32.0,Male,Programmer; Sr. Developer; Full-stack Developer,Back-end web developer,Back-end web developer,6 - 10 years,8.0,"$20,000 - $30,000",25000.0,2.68,C++; Go; MongoDB; Python; Redis; SQL Server; Swift,Go; Swift,Yes,8.0,Employed full-time,Consumer Products,"1,000-4,999 employees",10-14 people,2,Never,I'm somewhat satisfied with my job,Career fair,Notepad++; Sublime; Vim; Visual Studio; Xcode,Multiple times a day,2-5 hours per week,Other (please specify),Windows 7,No,"1,001 - 5,000",Multiple times a day,To keep my skills up to date,Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Opportunity for advancement; Job title,Finding an open job that I'm qualified for,50%,Show me the space in which I will work; Fewer brainteasers,Star Trek,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Agree somewhat,Disagree completely,Neutral,Disagree somewhat,Neutral,Disagree completely,This is very important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,Outdated technologies; Limited resources,To get help for my job; To demonstrate that I'm good at what I do; To communicate with others like me; Beacause I love to learn
41055,Facebook,China,Eastern Asia,East Asia,30-34,32.0,Male,Developer; Engineer; Programmer; Sr. Developer; Manager,Back-end web developer,Back-end web developer,11+ years,13.0,Rather not say,,2.68,PHP; Ruby,Android; iOS; PHP; Ruby,Yes,8.0,Self-employed,Web Services,20-99 employees,1-4 people,0,Part-time remote,I'm somewhat satisfied with my job,Other,Vim,Multiple times a day,1-2 hours per week,Dogs,Mac OS X,No,"10,001+",Once a day,I learn new technology when my job requires it,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Office location,Writing my CV and keeping it updated,90%,Show me more live code; interview_coffee; Show me the space in which I will work,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Neutral,Disagree somewhat,Neutral,Agree somewhat,Neutral,Disagree somewhat,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,Poor team dynamics; Inefficient development processes; Fragile code base; Poor scheduling; Poor infrastructure or equipment,To give help to others
47875,Facebook,China,Eastern Asia,East Asia,25-29,27.0,Male,Engineer; Full-stack Developer,Enterprise level services developer,Enterprise level services developer,2 - 5 years,3.5,"$20,000 - $30,000",25000.0,2.68,C++; Python; Redis,Python; Redis,Yes,9.0,Employed full-time,Finance / Banking,"10,000+ employees",5-9 people,3,I rarely work remotely,I'm neither satisfied nor dissatisfied,LinkedIn,Notepad++; Sublime; PyCharm; Visual Studio,A couple times a week,5-10 hours per week,Dogs,Windows 7,No,"501 - 1,000",Once a day,I'm curious,I'm self-taught; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Company financials; Work/life balance; Opportunity for advancement; Quality of colleagues; Company culture,Searching for a job that seems interesting,30%,Show me more live code; Introduce me to the team; Show me the space in which I will work,Star Wars,Agree completely,Neutral,Agree completely,Agree completely,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,Fragile code base; Poor documentation; Non-technical management,To get help for my job; To give help to others; Beacause I love to learn
